8156.46644928357 better than None, saving model
# T loss -    1575.44 | V loss -    1816.20 #
#############################################
# epoch  -         28 | time(s) -   1001.05 #
# T loss -    1606.81 | V loss -    1868.49 #
#############################################
# epoch  -         29 | time(s) -   1005.35 #
# T loss -    1580.14 | V loss -    1962.23 #
#############################################
# epoch  -         30 | time(s) -    998.72 #
# T loss -    1583.28 | V loss -    1906.82 #
1657.6644058378267 better than 1662.1555158759109, saving model
#############################################
# epoch  -         31 | time(s) -    991.84 #
# T loss -    1574.39 | V loss -    1657.66 #
#############################################
# epoch  -         32 | time(s) -   1008.22 #
# T loss -    1580.67 | V loss -    1907.70 #
#############################################
# epoch  -         33 | time(s) -   1015.62 #
# T loss -    1576.85 | V loss -    1758.90 #
#############################################
# epoch  -         34 | time(s) -   1013.83 #
# T loss -    1559.04 | V loss -    1705.82 #
#############################################
# epoch  -         35 | time(s) -   1019.03 #
# T loss -    1563.47 | V loss -    1907.01 #
#############################################
# epoch  -         36 | time(s) -   1015.82 #
# T loss -    1575.88 | V loss -    1680.52 #
#############################################
# epoch  -         37 | time(s) -   1012.11 #
# T loss -    1567.97 | V loss -    1709.62 #
#############################################
# epoch  -         38 | time(s) -   1017.44 #
# T loss -    1548.51 | V loss -    1700.73 #
#############################################
# epoch  -         39 | time(s) -   1015.67 #
# T loss -    1549.39 | V loss -    1694.59 #
#############################################
# epoch  -         40 | time(s) -   1019.13 #
# T loss -    1553.05 | V loss -    1805.17 #
#############################################
# epoch  -         41 | time(s) -   1014.38 #
# T loss -    1549.40 | V loss -    1782.30 #
#############################################
# epoch  -         42 | time(s) -   1016.84 #
# T loss -    1553.57 | V loss -    2875.98 #
#############################################
# epoch  -         43 | time(s) -   1014.54 #
# T loss -    1559.42 | V loss -    1725.73 #
#############################################
# epoch  -         44 | time(s) -   1018.30 #
# T loss -    1544.85 | V loss -    2369.00 #
#############################################
# epoch  -         45 | time(s) -   1019.16 #
# T loss -    1562.30 | V loss -    1726.55 #
#############################################
# epoch  -         46 | time(s) -   1015.94 #
# T loss -    1548.00 | V loss -    2251.18 #
#############################################
# epoch  -         47 | time(s) -   1011.81 #
# T loss -    1548.15 | V loss -    1904.35 #
#############################################
# epoch  -         48 | time(s) -   1016.42 #
# T loss -    1571.56 | V loss -    1795.64 #
#############################################
# epoch  -         49 | time(s) -   1010.80 #
# T loss -    1550.19 | V loss -    1872.67 #
#############################################
